N_features,Mean_AUC,Std_AUC
18,0.5120340438517621,0.0005893061078669758
20,0.5107232829643218,0.00022763023025426014
25,0.5107191329929883,0.0003605129454950207
32,0.5100968711048386,0.000313997189614964
